Source;Target;Sim
0;17;0.9950124791926823
0;4;0.9900498337491681
0;27;0.990049833749168
1;12;0.990049833749168
1;45;0.990049833749168
1;9;0.9851119396030626
2;47;0.990049833749168
2;3;0.9704455335485082
2;6;0.9656054162575665
3;47;0.990049833749168
3;29;0.9851119396030626
3;30;0.9753099120283326
4;17;0.9851119396030626
4;40;0.9851119396030626
5;18;0.9464851479534839
5;10;0.9417645335842487
5;48;0.9370674633774034
6;47;0.9753099120283327
6;11;0.9559974818330998
7;39;0.9950124791926823
7;49;0.990049833749168
7;0;0.9851119396030626
8;38;0.9900498337491681
8;3;0.9559974818331
8;42;0.9512294245007139
9;12;0.9851119396030626
9;30;0.9851119396030626
10;48;0.9950124791926822
10;27;0.9607894391523232
10;36;0.9559974818331
11;29;0.9753099120283327
11;7;0.9753099120283326
11;26;0.9607894391523232
12;34;0.9851119396030626
13;38;0.9704455335485082
13;42;0.9512294245007139
13;8;0.9417645335842487
14;33;0.9185122844014574
14;16;0.8958341352965284
14;15;0.8607079764250577
15;33;0.9370674633774033
15;5;0.8269591339433622
16;10;0.9417645335842487
16;48;0.9370674633774034
16;33;0.9277434863285529
17;40;0.9900498337491681
18;10;0.927743486328553
18;48;0.8958341352965281
19;21;0.9900498337491681
19;46;0.990049833749168
19;48;0.9704455335485082
20;31;0.9607894391523232
20;27;0.9559974818330998
20;28;0.9370674633774034
21;17;0.9704455335485082
21;46;0.9704455335485082
22;6;0.9003245225862656
22;2;0.8780954309205613
22;40;0.8737159116880343
23;26;0.9801986733067554
23;43;0.9656054162575665
23;39;0.9323938199059483
24;11;0.9559974818331
24;29;0.9323938199059484
24;26;0.9185122844014574
25;9;0.9801986733067554
25;34;0.9801986733067554
25;37;0.9801986733067554
26;7;0.9753099120283326
26;43;0.9753099120283326
27;28;0.990049833749168
27;39;0.990049833749168
28;0;0.990049833749168
28;39;0.990049833749168
29;30;0.9900498337491681
30;34;0.9851119396030626
31;27;0.9559974818330998
31;28;0.9559974818330998
32;33;0.9417645335842487
32;46;0.9417645335842487
32;19;0.9323938199059483
34;1;0.9851119396030626
35;49;0.9753099120283327
35;1;0.9559974818331
35;2;0.951229424500714
36;31;0.951229424500714
36;28;0.9464851479534839
37;1;0.9851119396030626
37;12;0.9851119396030626
37;30;0.9851119396030626
38;42;0.9801986733067553
39;0;0.990049833749168
40;0;0.9851119396030628
41;8;0.8228346580560184
41;38;0.7749164979610809
41;45;0.7445315874659093
42;47;0.9753099120283328
42;3;0.9559974818331001
43;21;0.951229424500714
44;46;0.9370674633774034
44;5;0.932393819905948
44;19;0.9185122844014574
45;12;0.9801986733067553
45;30;0.9704455335485082
46;48;0.9704455335485082
48;27;0.9753099120283326
49;39;0.9851119396030626
50;52;0.9656054162575665
50;86;0.9464851479534839
50;65;0.9093729344682315
51;56;0.9656054162575665
51;75;0.9512294245007141
51;65;0.9417645335842487
52;86;0.9607894391523232
52;77;0.951229424500714
53;89;0.9801986733067553
53;80;0.9559974818330998
53;69;0.951229424500714
54;58;0.9704455335485083
54;75;0.9512294245007141
54;76;0.9323938199059483
55;66;0.9559974818330998
55;90;0.951229424500714
55;96;0.951229424500714
56;85;0.9323938199059483
56;91;0.9139311852712281
57;93;0.9900498337491681
57;98;0.9277434863285531
57;60;0.9003245225862656
58;75;0.9704455335485083
58;65;0.9512294245007141
59;89;0.9277434863285529
59;94;0.8780954309205614
59;53;0.8737159116880344
60;93;0.9370674633774034
60;81;0.7985162187593771
61;96;0.9559974818330998
61;78;0.9464851479534839
61;95;0.9370674633774034
62;92;0.8869204367171575
62;69;0.8737159116880343
62;67;0.8607079764250578
63;91;0.990049833749168
63;73;0.9753099120283326
63;78;0.9704455335485082
64;82;0.9139311852712282
64;79;0.9048374180359595
64;88;0.8780954309205615
65;75;0.990049833749168
65;86;0.951229424500714
66;84;0.9801986733067555
66;96;0.9277434863285529
67;92;0.9704455335485083
67;82;0.9607894391523233
