Source;Target
0;509
1;88
1;403
1;529
2;228
3;151
3;389
3;438
5;171
5;269
6;62
6;89
8;395
9;111
9;259
9;265
9;406
10;438
11;57
11;523
11;532
12;118
12;264
12;367
13;525
13;538
14;203
14;549
15;198
15;247
15;296
15;549
16;38
17;43
17;156
17;529
18;455
18;538
19;85
19;120
19;394
20;37
20;258
20;343
20;536
20;538
22;42
22;362
22;372
22;510
23;308
24;105
24;391
25;39
25;107
26;204
26;289
26;421
27;142
27;420
27;455
28;183
28;339
29;400
30;429
31;184
31;530
32;522
33;471
34;103
34;454
34;524
36;145
36;379
37;49
37;520
38;272
38;452
38;482
39;294
41;363
41;402
41;403
42;263
43;167
43;486
43;506
44;159
44;453
45;233
45;362
46;116
46;223
47;200
47;534
49;322
49;472
49;530
50;101
50;245
50;387
51;52
51;149
51;216
52;68
52;271
52;480
54;185
55;236
55;262
55;331
55;463
55;546
56;268
56;285
56;359
56;442
56;492
57;168
57;427
57;513
58;211
58;429
58;481
58;533
60;322
60;411
60;520
61;248
62;94
62;466
63;466
64;177
64;182
64;452
65;150
65;323
65;386
65;511
66;494
66;495
66;506
67;150
68;157
68;213
68;329
68;331
68;431
69;436
71;160
71;227
71;245
71;289
71;529
72;303
73;350
74;284
75;126
76;186
78;272
78;285
81;179
81;216
81;466
82;119
82;301
82;399
83;306
85;222
85;456
86;137
87;126
87;164
87;485
89;272
91;119
91;243
91;355
94;146
94;205
94;438
94;544
97;142
98;514
100;214
100;516
102;106
102;269
102;308
102;545
103;263
104;397
105;156
106;209
106;427
110;243
111;294
111;485
111;516
112;114
112;262
112;319
112;514
112;524
113;148
113;495
114;512
115;472
116;524
117;267
117;386
117;509
118;343
118;349
119;430
120;452
121;418
121;465
122;145
122;198
122;319
123;506
124;155
124;178
124;458
125;420
126;355
128;137
129;366
130;160
130;243
130;257
130;273
130;323
131;390
131;400
131;413
132;347
132;452
133;201
133;302
134;212
134;272
134;286
135;521
136;317
136;349
136;411
136;434
137;247
137;452
138;410
139;447
139;452
140;302
141;388
141;539
142;156
142;178
142;228
142;421
143;268
144;320
144;333
145;401
146;223
146;318
148;354
148;431
149;486
150;413
150;480
150;542
151;204
151;334
152;334
152;385
153;290
153;403
154;222
155;266
155;545
156;168
156;548
157;541
158;210
158;432
159;299
161;416
162;264
162;354
162;399
162;466
163;239
163;313
163;341
164;317
166;511
167;364
167;480
167;544
168;290
169;387
170;231
171;447
172;285
174;464
175;269
175;460
176;252
176;390
178;232
178;310
178;342
178;463
179;328
180;181
180;230
180;254
180;264
180;515
181;360
181;362
181;536
183;258
184;370
185;240
186;259
186;399
188;271
188;327
188;455
189;208
189;262
191;236
192;291
192;324
193;209
193;315
193;468
194;243
194;348
196;359
196;507
198;320
199;545
201;370
202;243
202;263
202;264
202;288
203;348
203;365
204;266
205;301
206;481
206;547
207;426
208;241
208;374
209;398
209;422
209;441
210;271
211;243
211;494
212;523
213;272
213;526
215;281
215;326
215;442
218;235
218;340
218;495
219;268
219;323
221;383
221;385
221;478
222;500
223;391
224;475
224;527
225;271
225;289
226;367
228;272
228;316
228;320
230;391
231;463
233;300
234;441
236;301
236;498
237;506
240;275
240;307
241;523
243;346
244;262
244;303
245;342
245;420
245;447
245;547
246;329
247;264
247;450
249;368
250;536
253;395
253;466
254;334
254;524
255;290
256;275
256;495
257;478
257;542
258;538
260;367
261;420
264;462
264;501
264;514
266;541
267;431
269;284
270;351
270;374
271;390
273;294
273;490
274;392
275;375
276;514
277;284
277;430
277;449
277;525
278;379
278;390
278;424
279;415
280;351
280;452
280;489
282;483
284;483
285;343
285;387
285;432
286;330
286;356
286;390
286;438
286;450
286;525
287;376
289;472
290;330
290;489
291;341
291;529
292;415
293;453
293;530
294;382
294;414
295;414
295;466
296;362
297;352
298;305
298;364
298;481
298;492
301;325
301;351
301;486
303;396
304;326
304;487
306;364
310;421
311;333
311;370
311;426
312;378
313;435
313;473
317;426
318;395
319;505
320;478
321;415
324;501
325;377
325;414
326;521
326;549
327;339
327;364
327;423
328;401
329;364
330;386
330;434
331;493
331;531
331;547
333;404
334;392
335;409
335;508
336;405
337;387
337;495
337;533
339;519
341;400
341;547
342;471
344;540
346;538
348;467
348;491
349;363
350;404
351;428
352;400
354;459
355;457
357;367
359;429
360;415
362;489
364;495
365;532
366;380
366;509
367;376
370;429
371;399
371;426
373;420
373;473
374;474
376;473
376;501
380;463
384;468
385;458
386;479
388;420
389;391
391;452
391;478
392;485
393;450
397;474
398;437
403;431
404;506
406;425
409;464
412;444
413;519
415;464
415;529
417;536
418;421
419;440
424;480
430;484
430;504
431;504
431;519
434;448
434;501
436;457
437;501
437;544
438;446
440;474
443;447
443;492
443;500
448;513
448;533
454;548
456;458
456;465
459;495
460;489
460;509
461;478
462;504
463;477
464;494
466;483
466;501
472;532
472;543
480;486
486;504
492;517
499;516
499;521
506;518
506;545
514;536
517;542
534;547
