Source;Target
10;405
11;219
14;343
17;252
18;422
18;504
19;348
21;542
24;371
25;349
26;135
26;216
26;316
26;322
27;446
28;331
29;513
31;49
34;420
36;410
36;474
38;217
41;97
42;178
42;209
42;371
43;189
43;326
47;455
51;204
55;294
56;138
57;360
61;75
63;97
64;215
64;435
70;292
70;346
73;361
74;170
77;149
77;498
81;130
82;100
85;101
85;274
85;368
91;259
97;171
98;197
101;211
101;535
104;461
105;489
107;109
110;319
112;217
113;147
115;150
119;540
123;548
127;336
127;403
127;449
135;162
140;533
144;336
145;410
152;219
153;215
156;371
159;322
159;420
162;356
166;308
171;423
173;300
174;508
177;411
179;250
181;509
184;267
189;397
190;275
190;304
191;276
196;234
206;245
229;258
230;274
235;275
238;390
244;252
252;384
255;399
256;530
267;475
271;494
273;391
274;492
288;389
290;523
295;445
303;539
306;359
308;371
315;538
317;409
333;462
341;427
341;458
347;434
353;457
367;422
368;509
374;439
375;516
377;393
381;409
395;532
403;496
405;421
413;434
426;431
429;516
430;547
434;497
443;549
447;531
455;480
461;540
466;527
489;544
503;538
509;534
532;536
