Source;Target
0;139
0;301
0;374
0;383
0;411
0;480
0;540
1;192
1;405
1;443
1;477
1;480
1;530
2;43
2;246
2;358
3;137
3;155
3;234
3;237
3;273
3;518
3;548
4;174
4;193
4;492
4;512
5;49
5;69
5;531
5;538
6;93
6;105
6;360
6;372
6;444
7;79
7;132
7;152
7;223
7;465
7;474
8;530
9;199
9;339
9;388
10;62
10;284
10;296
10;432
10;513
11;88
11;188
11;368
11;371
11;433
11;512
12;254
12;273
12;277
12;399
13;114
13;344
13;347
13;457
14;184
14;248
14;394
14;418
15;36
15;194
15;393
15;453
16;72
16;144
16;226
16;269
16;282
16;344
16;499
17;261
17;317
17;349
17;390
17;481
18;112
18;334
18;529
18;548
19;32
19;159
19;205
19;229
19;263
20;126
20;162
20;173
20;254
20;344
20;411
20;466
21;142
21;195
21;211
21;257
21;260
21;386
22;62
22;118
22;249
22;273
22;294
22;403
22;424
22;517
23;97
23;225
23;306
23;384
23;440
24;61
24;114
24;179
24;214
24;470
24;502
25;57
25;83
25;251
25;453
25;538
26;52
26;119
26;238
26;270
26;424
27;36
27;110
27;135
27;155
27;215
27;274
28;288
28;377
28;450
29;296
29;409
29;462
29;495
29;514
29;538
30;43
30;59
30;207
30;309
30;313
30;347
30;418
30;468
30;484
30;507
30;526
30;547
31;301
31;349
31;352
32;71
32;142
32;342
32;354
32;359
32;437
32;491
33;203
33;323
33;451
33;470
34;106
34;283
34;354
34;540
35;263
35;404
35;405
36;135
36;269
36;318
36;330
37;276
37;519
38;59
38;145
38;450
38;526
39;261
39;293
39;362
39;467
40;84
40;253
40;439
40;459
41;424
41;481
42;158
42;198
42;248
42;430
43;66
43;221
43;234
43;353
43;418
44;253
44;259
44;316
44;409
44;427
44;511
45;68
45;125
45;254
45;310
45;388
45;411
45;439
46;65
46;152
46;192
47;119
47;155
47;158
47;205
47;236
48;50
48;84
48;212
48;331
48;357
48;446
48;465
49;191
49;273
49;359
49;487
50;152
50;268
50;392
51;185
52;270
52;295
52;409
52;413
52;471
52;502
53;106
53;114
53;174
53;255
53;339
53;410
53;420
54;382
54;485
54;500
55;95
55;172
55;241
55;479
55;545
56;148
56;448
57;356
57;464
57;477
58;133
58;257
58;385
58;504
59;77
59;162
59;216
59;417
59;458
59;522
60;133
60;203
60;348
60;543
61;236
61;266
61;384
61;406
61;453
61;486
61;539
62;165
62;242
62;256
62;438
62;445
62;485
63;78
63;114
63;231
63;293
63;346
63;547
64;65
64;157
64;274
64;368
65;88
65;110
66;110
66;238
66;242
66;515
66;521
66;525
67;176
67;255
67;338
67;345
67;391
67;403
67;437
67;456
68;117
68;120
68;195
68;378
68;435
69;217
69;233
69;447
70;265
70;309
70;464
70;520
71;246
71;257
72;244
72;432
72;452
73;177
73;274
73;417
73;421
73;495
73;525
74;191
74;268
74;292
74;408
74;412
75;100
75;107
75;171
75;332
75;362
75;428
76;401
77;145
77;226
77;313
77;486
78;121
78;128
78;432
78;506
78;510
79;97
79;272
79;342
79;474
80;224
80;236
80;262
80;301
80;354
80;485
81;90
81;104
81;313
81;424
82;83
82;176
82;348
82;355
82;427
83;207
83;283
83;437
83;481
83;486
84;266
84;300
84;415
85;123
85;235
85;355
