Source;Target
0;1
2;0
3;2
3;0
3;1
4;1
4;0
4;2
5;0
5;3
5;2
6;0
6;3
6;2
7;2
7;1
7;3
8;6
8;3
8;1
9;2
9;0
9;6
10;4
10;3
10;8
11;0
11;8
11;3
12;1
12;5
12;6
13;6
13;4
13;12
14;11
14;8
14;1
15;0
15;6
15;12
16;9
16;0
16;8
17;1
17;6
17;4
18;9
18;1
18;8
19;7
19;17
19;9
20;8
20;12
20;2
21;13
21;18
21;3
22;20
22;12
22;6
23;3
23;2
23;7
24;17
24;6
24;13
25;22
25;6
25;13
26;8
26;11
26;12
27;2
27;4
27;0
28;4
28;1
28;13
29;22
29;24
29;15
30;1
30;0
30;3
31;18
31;9
31;0
32;4
32;13
32;2
33;0
33;4
33;18
34;26
34;11
34;18
35;18
35;6
35;24
36;31
36;3
36;6
37;1
37;3
37;21
38;21
38;33
38;14
39;15
39;8
39;1
40;15
40;33
40;30
41;15
41;12
41;28
42;31
42;37
42;2
43;0
43;3
43;9
44;31
44;17
44;22
45;18
45;7
45;3
46;22
46;30
46;21
47;38
47;31
47;9
48;38
48;4
48;45
49;1
49;32
49;23
50;12
50;13
50;0
51;3
51;32
51;24
52;6
52;20
52;19
53;25
53;46
53;18
54;5
54;11
54;1
55;16
55;21
55;32
56;0
56;21
56;11
57;40
57;39
57;38
58;44
58;45
58;30
59;0
59;4
59;15
60;5
60;12
60;9
61;36
61;6
61;44
62;6
62;45
62;5
63;41
63;2
63;1
64;53
64;8
64;3
65;9
65;2
65;64
66;40
66;18
66;24
67;58
67;17
67;3
68;25
68;64
68;35
69;21
69;0
69;16
70;60
70;64
70;24
71;30
71;0
71;3
72;41
72;23
72;40
73;12
73;18
73;42
74;37
74;3
74;0
75;9
75;69
75;38
76;67
76;17
76;45
77;30
77;58
77;62
78;63
78;6
78;3
79;0
79;39
79;12
80;50
80;25
80;74
81;36
81;75
81;44
82;26
82;81
82;77
83;6
83;2
83;35
84;8
84;0
84;1
85;17
85;46
85;4
86;68
86;8
86;81
87;57
87;54
87;3
88;58
88;3
88;18
89;57
89;18
89;1
90;12
90;35
90;81
91;21
91;57
91;46
92;77
92;81
92;31
93;52
93;73
93;21
94;6
94;5
94;22
95;1
95;91
95;41
96;33
96;73
96;94
97;34
97;45
97;89
98;4
98;6
98;11
99;4
99;97
99;75
100;13
100;56
100;26
101;52
101;0
101;6
102;15
102;5
102;45
103;31
103;11
103;2
104;26
104;61
104;39
105;3
105;24
105;4
106;3
106;35
106;12
107;2
107;12
107;93
108;71
108;40
108;8
109;12
109;1
109;79
110;104
110;46
110;37
111;3
111;93
111;26
112;50
112;11
112;19
113;26
113;29
113;4
114;64
114;13
114;5
115;54
115;1
115;53
116;37
116;94
116;7
117;19
117;8
117;13
118;5
118;68
118;61
119;41
119;12
119;0
120;20
120;33
120;21
121;3
121;9
121;40
122;2
122;26
122;3
123;21
123;24
123;72
124;93
124;20
124;119
125;73
125;84
125;26
126;64
126;6
126;12
127;25
127;117
127;14
128;81
128;54
128;67
129;17
129;3
129;100
130;5
130;22
130;30
131;19
131;81
131;6
132;73
132;28
132;20
133;0
133;96
133;30
134;47
134;15
134;57
135;88
135;5
135;76
136;2
136;19
136;3
137;31
137;79
137;69
138;2
138;56
138;7
139;97
139;9
139;91
140;127
140;17
140;4
141;44
141;11
141;28
142;9
142;38
142;15
143;3
143;13
143;2
144;54
144;30
144;60
145;46
145;83
145;7
146;75
146;12
146;11
147;13
147;65
147;72
148;81
148;38
148;80
149;13
149;5
149;2
150;3
150;69
150;75
151;25
151;72
151;4
152;44
152;40
152;71
153;103
153;50
153;55
154;60
154;93
154;85
155;3
155;75
155;25
156;18
156;38
156;75
157;91
157;41
157;36
158;3
158;13
158;0
159;3
159;2
159;31
160;45
160;101
160;30
161;156
161;1
161;106
162;93
162;13
162;33
163;4
163;122
163;18
164;51
164;5
164;31
165;93
165;6
165;3
166;66
166;14
166;54
167;60
167;160
167;30
168;60
168;81
168;140
169;75
169;88
169;13
170;26
170;21
170;62
171;33
171;109
171;11
172;18
172;15
172;59
173;59
173;6
173;133
174;80
174;4
174;103
175;119
175;100
175;67
176;0
176;57
176;41
177;124
177;45
177;3
178;64
178;39
178;92
179;1
179;83
179;168
180;33
180;54
180;36
181;79
181;63
181;88
182;90
182;11
182;170
183;114
183;170
183;4
184;12
184;104
184;37
185;53
185;3
185;71
186;44
186;1
186;149
187;15
187;33
187;148
188;70
188;76
188;3
189;103
189;8
189;11
190;6
190;135
190;186
191;162
191;143
191;101
192;152
192;9
192;40
193;71
193;57
193;36
194;121
194;5
194;149
195;80
195;19
195;91
196;1
196;36
196;183
197;81
197;41
197;162
198;60
198;141
198;45
199;14
199;108
199;94
200;157
200;6
200;26
201;5
201;68
201;42
202;63
202;5
202;61
203;70
203;104
203;26
204;0
204;127
204;3
205;20
205;171
205;46
206;93
206;111
206;125
207;1
207;52
207;99
208;21
208;22
208;20
209;91
209;17
209;111
210;4
210;80
210;66
211;113
211;32
211;61
212;106
212;7
212;104
213;205
213;11
213;183
214;77
214;170
214;2
215;172
215;106
215;6
216;116
216;195
216;14
217;78
217;185
217;194
218;48
218;4
218;149
219;175
219;20
219;26
220;117
220;1
220;4
221;181
221;6
221;14
222;159
222;17
222;9
223;88
223;61
223;1
224;25
224;10
224;5
225;61
225;224
225;133
226;164
226;33
226;3
227;34
227;172
227;21
228;8
228;217
228;129
229;11
229;5
229;42
230;63
230;0
230;11
231;34
231;21
231;224
232;12
232;81
232;46
233;187
233;88
233;5
234;36
234;3
234;2
235;88
235;17
235;177
236;104
236;61
236;81
237;224
237;129
237;133
238;138
238;167
238;22
239;232
239;26
239;48
240;182
240;77
240;65
241;13
241;12
241;4
242;4
242;11
242;100
243;12
243;224
243;18
244;7
244;239
244;8
245;17
245;21
245;23
246;98
246;39
246;28
247;104
247;61
247;175
248;183
248;117
248;9
249;44
249;99
249;1
250;33
250;91
250;19
251;100
251;197
251;4
252;20
252;15
252;228
253;32
253;77
253;149
254;251
254;243
254;131
255;9
255;1
255;34
256;41
256;46
256;32
257;88
257;41
257;2
258;219
258;22
258;247
259;196
259;9
259;26
260;57
260;47
260;162
261;224
261;138
261;1
262;5
262;26
262;157
263;108
263;208
263;20
264;60
264;14
264;24
265;83
265;72
265;161
266;91
266;1
266;60
267;0
267;6
267;70
268;156
268;26
268;235
269;266
269;224
269;83
270;94
270;206
